#año,mes,dia,hora,min,seg,latitud,longitud,profundidad,rem,erh,erz,magnitud,dm,ada,no
1979,02,02,11,33,03,14.707333333333333,90.7005,11,0.28,1.2,,1.91,8,163,
1979,02,04,11,54,17,14.725666666666667,90.98183333333333,6,0.38,1.8,,1.79,9,197,
1979,02,04,21,29,46,14.668333333333333,90.48483333333333,5170,2,352,,16,139,037,
1979,02,08,06,04,36,14.722833333333334,90.50816666666667,,258,4.8,,15,97,103681,
1979,02,08,14,56,13,13.37,91.04333333333334,3.40,,,,150,,,
1979,02,10,09,13,18,14.873666666666667,90.86516666666667,10,0.28,1.1,,1.81,14,140,
1979,02,10,23,39.,19,15.5235,91.55463333333333,19,0.77,2.1,,02.42,19,231,
1979,02,11,18,13,57,14.4795,90.55683333333333,5,,,,1.49,6.961,028,
1979,02,10,18,45,02,14.455833333333333,90.52433333333333,,0.94,3.4,,,2,136,
1979,02,11,18,46,33,14.458166666666667,90.54266666666666,6,,,,2.21,,,
1979,02,11,21,31,37,14.4895,90.5385,5,,38,,1.98,85,189.,
1979,02,11021,53,32,1431.69,90.55916666666667,,11282,327,359,,141,107.,117,
1979,02,12,06,17,02,14.474166666666667,90.52433333333333,8,0.30,3.8,,1.38,4,136,
1979,02,12,09,02,21,14.4805,90.532,6,,1.2,,1.49,25,023,
1979,02,13,05,39,18,14.648333333333333,90.9425,7,09,1009,,159,,,
1979,02,13,20,13,12,14.607,90.95116666666667,,32.,34,,41.76,22.199,0049,
1979,02,14,01,18,12,14.1125,91.33,30,0.99,4.0,,2.33,42,284,
1979,02,15,21,44,53,14.656833333333333,90.4845,9,0.48,3.3,,1.84,16,144,
1979,02,16,08,9625,15,19.35,90.5805,15.,0.37,0.7,,2.43,37,330,
1979,02,16,13,43,09,14.575166666666666,90.70716666666667,10,0.30,1.1,,2.05,5,102,
1979,02,16,17,01,34,15.029,90.73866666666666,24,0.64,4.0,,2.30,29,290,
